id,latency,start,end,client
0,76.1142578125,1685120263896.3794,1685120263972.4937,ThreadPoolExecutor-2_5
1,86.755615234375,1685120263895.669,1685120263982.4246,ThreadPoolExecutor-2_4
2,90.603271484375,1685120263895.0793,1685120263985.6826,ThreadPoolExecutor-2_3
3,97.5078125,1685120263893.8079,1685120263991.3157,ThreadPoolExecutor-2_1
4,101.724365234375,1685120263894.4785,1685120263996.203,ThreadPoolExecutor-2_2
5,109.817138671875,1685120263893.069,1685120264002.8862,ThreadPoolExecutor-2_0
6,108.318603515625,1685120263896.9521,1685120264005.2708,ThreadPoolExecutor-2_6
7,109.692626953125,1685120263898.564,1685120264008.2566,ThreadPoolExecutor-2_9
8,112.77001953125,1685120263897.493,1685120264010.263,ThreadPoolExecutor-2_7
9,114.370849609375,1685120263898.0518,1685120264012.4226,ThreadPoolExecutor-2_8
10,75.6328125,1685120263972.5393,1685120264048.172,ThreadPoolExecutor-2_5
11,73.988037109375,1685120263982.48,1685120264056.468,ThreadPoolExecutor-2_4
12,76.19677734375,1685120263985.7297,1685120264061.9265,ThreadPoolExecutor-2_3
13,78.33544921875,1685120263991.366,1685120264069.7014,ThreadPoolExecutor-2_1
14,75.593505859375,1685120263996.262,1685120264071.8555,ThreadPoolExecutor-2_2
15,81.190185546875,1685120264005.3176,1685120264086.5078,ThreadPoolExecutor-2_6
16,89.199951171875,1685120264002.9495,1685120264092.1494,ThreadPoolExecutor-2_0
17,86.213623046875,1685120264008.315,1685120264094.5286,ThreadPoolExecutor-2_9
18,86.75830078125,1685120264010.3032,1685120264097.0615,ThreadPoolExecutor-2_7
19,90.177490234375,1685120264012.4573,1685120264102.6348,ThreadPoolExecutor-2_8
20,71.227783203125,1685120264048.2266,1685120264119.4543,ThreadPoolExecutor-2_5
21,75.671142578125,1685120264056.531,1685120264132.2021,ThreadPoolExecutor-2_4
22,73.916748046875,1685120264061.9895,1685120264135.9062,ThreadPoolExecutor-2_3
23,76.998291015625,1685120264069.7632,1685120264146.7615,ThreadPoolExecutor-2_1
24,77.17919921875,1685120264071.897,1685120264149.0762,ThreadPoolExecutor-2_2
25,73.506591796875,1685120264086.5747,1685120264160.0813,ThreadPoolExecutor-2_6
26,79.50439453125,1685120264092.2212,1685120264171.7256,ThreadPoolExecutor-2_0
27,87.354736328125,1685120264094.58,1685120264181.9348,ThreadPoolExecutor-2_9
28,86.75146484375,1685120264097.1077,1685120264183.8591,ThreadPoolExecutor-2_7
29,83.099609375,1685120264102.6995,1685120264185.799,ThreadPoolExecutor-2_8
30,71.004150390625,1685120264119.5198,1685120264190.524,ThreadPoolExecutor-2_5
31,73.56787109375,1685120264132.2615,1685120264205.8293,ThreadPoolExecutor-2_4
32,74.522705078125,1685120264135.949,1685120264210.4717,ThreadPoolExecutor-2_3
33,77.329833984375,1685120264146.8296,1685120264224.1594,ThreadPoolExecutor-2_1
34,77.34912109375,1685120264149.126,1685120264226.475,ThreadPoolExecutor-2_2
35,72.024658203125,1685120264160.1414,1685120264232.166,ThreadPoolExecutor-2_6
36,75.896484375,1685120264171.7747,1685120264247.6711,ThreadPoolExecutor-2_0
37,77.86328125,1685120264183.8967,1685120264261.76,ThreadPoolExecutor-2_7
38,82.512939453125,1685120264181.9758,1685120264264.4888,ThreadPoolExecutor-2_9
39,76.07080078125,1685120264190.5723,1685120264266.643,ThreadPoolExecutor-2_5
40,83.792724609375,1685120264185.8438,1685120264269.6365,ThreadPoolExecutor-2_8
41,74.355224609375,1685120264205.8904,1685120264280.2456,ThreadPoolExecutor-2_4
42,72.689453125,1685120264210.524,1685120264283.2134,ThreadPoolExecutor-2_3
43,74.710205078125,1685120264224.233,1685120264298.943,ThreadPoolExecutor-2_1
44,72.094970703125,1685120264232.2234,1685120264304.3184,ThreadPoolExecutor-2_6
45,78.830078125,1685120264226.5227,1685120264305.3528,ThreadPoolExecutor-2_2
