id,latency,start,end,client
0,78.38037109375,1685120260123.3997,1685120260201.78,ThreadPoolExecutor-1_3
1,75.357666015625,1685120260130.8286,1685120260206.1863,ThreadPoolExecutor-1_7
2,92.07666015625,1685120260117.2769,1685120260209.3535,ThreadPoolExecutor-1_0
3,86.016845703125,1685120260127.2083,1685120260213.225,ThreadPoolExecutor-1_5
4,93.469482421875,1685120260121.3108,1685120260214.7803,ThreadPoolExecutor-1_2
5,98.229736328125,1685120260119.3115,1685120260217.5413,ThreadPoolExecutor-1_1
6,92.220947265625,1685120260129.2007,1685120260221.4216,ThreadPoolExecutor-1_6
7,98.284423828125,1685120260125.215,1685120260223.4995,ThreadPoolExecutor-1_4
8,91.425537109375,1685120260133.905,1685120260225.3306,ThreadPoolExecutor-1_9
9,95.703125,1685120260132.4128,1685120260228.116,ThreadPoolExecutor-1_8
10,75.3076171875,1685120260201.8584,1685120260277.166,ThreadPoolExecutor-1_3
11,76.1943359375,1685120260209.4126,1685120260285.607,ThreadPoolExecutor-1_0
12,75.049072265625,1685120260213.2864,1685120260288.3354,ThreadPoolExecutor-1_5
13,70.302978515625,1685120260225.391,1685120260295.694,ThreadPoolExecutor-1_9
14,81.619384765625,1685120260214.8564,1685120260296.4758,ThreadPoolExecutor-1_2
15,118.641845703125,1685120260206.2456,1685120260324.8875,ThreadPoolExecutor-1_7
16,69.24267578125,1685120260277.234,1685120260346.4766,ThreadPoolExecutor-1_3
17,135.590576171875,1685120260223.5857,1685120260359.1763,ThreadPoolExecutor-1_4
18,142.20751953125,1685120260217.613,1685120260359.8206,ThreadPoolExecutor-1_1
19,72.127685546875,1685120260288.3696,1685120260360.4973,ThreadPoolExecutor-1_5
20,75.48828125,1685120260285.658,1685120260361.1462,ThreadPoolExecutor-1_0
21,66.61083984375,1685120260296.5044,1685120260363.1152,ThreadPoolExecutor-1_2
22,70.801513671875,1685120260295.7266,1685120260366.528,ThreadPoolExecutor-1_9
23,69.471435546875,1685120260324.9233,1685120260394.3948,ThreadPoolExecutor-1_7
24,68.26513671875,1685120260346.51,1685120260414.7751,ThreadPoolExecutor-1_3
25,203.18603515625,1685120260221.5005,1685120260424.6865,ThreadPoolExecutor-1_6
26,67.895751953125,1685120260361.175,1685120260429.0708,ThreadPoolExecutor-1_0
27,204.208740234375,1685120260228.178,1685120260432.3867,ThreadPoolExecutor-1_8
28,75.537109375,1685120260360.521,1685120260436.058,ThreadPoolExecutor-1_5
29,85.703857421875,1685120260363.1392,1685120260448.843,ThreadPoolExecutor-1_2
30,83.1171875,1685120260366.5645,1685120260449.6816,ThreadPoolExecutor-1_9
31,69.1533203125,1685120260394.4268,1685120260463.58,ThreadPoolExecutor-1_7
32,68.974853515625,1685120260414.8064,1685120260483.7812,ThreadPoolExecutor-1_3
33,70.707275390625,1685120260424.722,1685120260495.4292,ThreadPoolExecutor-1_6
34,72.470703125,1685120260429.097,1685120260501.5676,ThreadPoolExecutor-1_0
35,142.4462890625,1685120260359.845,1685120260502.2913,ThreadPoolExecutor-1_1
36,143.724365234375,1685120260359.212,1685120260502.9363,ThreadPoolExecutor-1_4
37,70.487060546875,1685120260436.0842,1685120260506.5713,ThreadPoolExecutor-1_5
38,74.761474609375,1685120260432.413,1685120260507.1746,ThreadPoolExecutor-1_8
39,69.79931640625,1685120260463.614,1685120260533.4133,ThreadPoolExecutor-1_7
40,85.660400390625,1685120260448.8882,1685120260534.5486,ThreadPoolExecutor-1_2
41,85.79541015625,1685120260449.726,1685120260535.5215,ThreadPoolExecutor-1_9
42,67.77685546875,1685120260483.8123,1685120260551.589,ThreadPoolExecutor-1_3
43,68.789306640625,1685120260495.4592,1685120260564.2485,ThreadPoolExecutor-1_6
44,65.89697265625,1685120260501.5972,1685120260567.4941,ThreadPoolExecutor-1_0
45,72.7490234375,1685120260502.9583,1685120260575.7073,ThreadPoolExecutor-1_4
46,69.5908203125,1685120260507.1958,1685120260576.7866,ThreadPoolExecutor-1_8
47,78.460205078125,1685120260506.5955,1685120260585.0557,ThreadPoolExecutor-1_5
48,83.374755859375,1685120260502.3232,1685120260585.698,ThreadPoolExecutor-1_1
49,71.274658203125,1685120260535.5464,1685120260606.821,ThreadPoolExecutor-1_9
50,72.9892578125,1685120260534.5818,1685120260607.571,ThreadPoolExecutor-1_2
51,75.40771484375,1685120260533.4583,1685120260608.866,ThreadPoolExecutor-1_7
52,67.7470703125,1685120260551.6252,1685120260619.3723,ThreadPoolExecutor-1_3
53,74.19921875,1685120260564.281,1685120260638.4802,ThreadPoolExecutor-1_6
54,72.176513671875,1685120260567.517,1685120260639.6936,ThreadPoolExecutor-1_0
55,72.411376953125,1685120260576.8083,1685120260649.2197,ThreadPoolExecutor-1_8
56,74.354248046875,1685120260575.7434,1685120260650.0977,ThreadPoolExecutor-1_4
57,72.72314453125,1685120260585.7327,1685120260658.4558,ThreadPoolExecutor-1_1
58,74.087646484375,1685120260585.0864,1685120260659.174,ThreadPoolExecutor-1_5
59,72.242919921875,1685120260606.8574,1685120260679.1003,ThreadPoolExecutor-1_9
60,72.6064453125,1685120260607.606,1685120260680.2124,ThreadPoolExecutor-1_2
61,72.13134765625,1685120260608.8926,1685120260681.024,ThreadPoolExecutor-1_7
62,67.82568359375,1685120260619.411,1685120260687.2366,ThreadPoolExecutor-1_3
63,66.9111328125,1685120260639.7156,1685120260706.6267,ThreadPoolExecutor-1_0
64,69.11669921875,1685120260638.5212,1685120260707.638,ThreadPoolExecutor-1_6
65,79.103271484375,1685120260650.1277,1685120260729.231,ThreadPoolExecutor-1_4
66,80.594970703125,1685120260649.2708,1685120260729.8657,ThreadPoolExecutor-1_8
67,72.6484375,1685120260658.4841,1685120260731.1326,ThreadPoolExecutor-1_1
68,72.530517578125,1685120260659.2048,1685120260731.7354,ThreadPoolExecutor-1_5
69,74.58349609375,1685120260680.2446,1685120260754.8281,ThreadPoolExecutor-1_2
70,69.204833984375,1685120260687.2734,1685120260756.4783,ThreadPoolExecutor-1_3
71,76.201171875,1685120260681.0664,1685120260757.2676,ThreadPoolExecutor-1_7
72,80.907958984375,1685120260679.1375,1685120260760.0454,ThreadPoolExecutor-1_9
73,70.2490234375,1685120260706.6582,1685120260776.9072,ThreadPoolExecutor-1_0
